,algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,PR_AUC,band_param,epochs,sigmoid_pow
44,KDEAE,GutenTAG,cbf-diff-count-5.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,13.772487878799438,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 150, 'sigmoid_pow': 1.0}",42d9595edf3ffec4c2e573e4a8337eae,0.5508191444505727,0.2785449196132568,0.004,150.0,1.0
45,KDEAE,GutenTAG,cbf-diff-count-5.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.195481300354004,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.5352177167249602,0.2229916571163608,0.004,200.0,1.0
46,KDEAE,GutenTAG,cbf-diff-count-5.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,20.61341166496277,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 250, 'sigmoid_pow': 1.0}",5014270011609e9cf61a7fd7fcd9c215,0.5213939315686199,0.2750023132821818,0.004,250.0,1.0
47,KDEAE,GutenTAG,cbf-diff-count-5.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,23.585278749465942,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 300, 'sigmoid_pow': 1.0}",ab233335a132d5907b0b55a85a1002a9,0.5101873142957795,0.2469663949898843,0.004,300.0,1.0
48,KDEAE,GutenTAG,cbf-diff-count-6.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,7.957453727722168,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 50, 'sigmoid_pow': 1.0}",e68c360c4c261c5b4d2ef451fa562bd6,0.4812894476338407,0.2765784207904357,0.004,50.0,1.0
49,KDEAE,GutenTAG,cbf-diff-count-6.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,10.769392490386965,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 100, 'sigmoid_pow': 1.0}",51fb74a4c0dc93f19fef6919e9fd845d,0.4763864207578106,0.2543054701040977,0.004,100.0,1.0
50,KDEAE,GutenTAG,cbf-diff-count-6.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,13.987399339675903,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 150, 'sigmoid_pow': 1.0}",42d9595edf3ffec4c2e573e4a8337eae,0.4248623502547489,0.2058537374971013,0.004,150.0,1.0
51,KDEAE,GutenTAG,cbf-diff-count-6.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.468928813934326,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.44531055795557,0.2292037120186076,0.004,200.0,1.0
52,KDEAE,GutenTAG,cbf-diff-count-6.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,20.218985319137573,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 250, 'sigmoid_pow': 1.0}",5014270011609e9cf61a7fd7fcd9c215,0.4442207279303903,0.2088340032510388,0.004,250.0,1.0
53,KDEAE,GutenTAG,cbf-diff-count-6.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,23.197909593582157,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 300, 'sigmoid_pow': 1.0}",ab233335a132d5907b0b55a85a1002a9,0.4370003019542555,0.1850145524306693,0.004,300.0,1.0
54,KDEAE,GutenTAG,cbf-diff-count-7.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,7.851262092590332,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 50, 'sigmoid_pow': 1.0}",e68c360c4c261c5b4d2ef451fa562bd6,0.3689339096682321,0.1628137571631455,0.004,50.0,1.0
55,KDEAE,GutenTAG,cbf-diff-count-7.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,10.906901359558104,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 100, 'sigmoid_pow': 1.0}",51fb74a4c0dc93f19fef6919e9fd845d,0.3537384672387882,0.1682381770042526,0.004,100.0,1.0
56,KDEAE,GutenTAG,cbf-diff-count-7.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,13.761608600616457,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 150, 'sigmoid_pow': 1.0}",42d9595edf3ffec4c2e573e4a8337eae,0.3800088301955866,0.1699986702325172,0.004,150.0,1.0
57,KDEAE,GutenTAG,cbf-diff-count-7.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.120755910873413,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.4321484974062628,0.302214566721641,0.004,200.0,1.0
58,KDEAE,GutenTAG,cbf-diff-count-7.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,20.14073634147644,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 250, 'sigmoid_pow': 1.0}",5014270011609e9cf61a7fd7fcd9c215,0.3683251962054234,0.1877457175227129,0.004,250.0,1.0
59,KDEAE,GutenTAG,cbf-diff-count-7.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,24.20245385169983,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 300, 'sigmoid_pow': 1.0}",ab233335a132d5907b0b55a85a1002a9,0.3725434379945188,0.1511375789029856,0.004,300.0,1.0
