,algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,PR_AUC,band_param,epochs,sigmoid_pow
49,KDEAE,GutenTAG,cbf-diff-count-7.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.16285991668701,,Status.OK,,1,"{'band_param': 0.01, 'epochs': 200, 'sigmoid_pow': 1.0}",70c4595bdfed752ec33301c4dbd1fc4c,0.3862791896118094,0.2073748406736786,0.01,200.0,1.0
50,KDEAE,GutenTAG,cbf-length-1.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.937138557434082,,Status.OK,,1,"{'band_param': 0.001, 'epochs': 200, 'sigmoid_pow': 1.0}",cafd8192ffdb0d561ad04a1c63be302b,0.8896389638963896,0.5002264492753623,0.001,200.0,1.0
51,KDEAE,GutenTAG,cbf-length-1.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.473220348358154,,Status.OK,,1,"{'band_param': 0.002, 'epochs': 200, 'sigmoid_pow': 1.0}",1434138a3368b058d85ddc9aebdb45c2,0.5365536553655365,0.0001076194575979,0.002,200.0,1.0
52,KDEAE,GutenTAG,cbf-length-1.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.75402045249939,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.8539853985398539,0.0003396739130434,0.004,200.0,1.0
53,KDEAE,GutenTAG,cbf-length-1.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.93192982673645,,Status.OK,,1,"{'band_param': 0.006, 'epochs': 200, 'sigmoid_pow': 1.0}",989ca0697fea2a13d73964c4951a6aad,0.8574357435743575,0.5001753155680224,0.006,200.0,1.0
54,KDEAE,GutenTAG,cbf-length-1.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.606937885284424,,Status.OK,,1,"{'band_param': 0.01, 'epochs': 200, 'sigmoid_pow': 1.0}",70c4595bdfed752ec33301c4dbd1fc4c,0.6055605560556055,0.0001263902932254,0.01,200.0,1.0
55,KDEAE,GutenTAG,cbf-length-10.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.30790424346924,,Status.OK,,1,"{'band_param': 0.001, 'epochs': 200, 'sigmoid_pow': 1.0}",cafd8192ffdb0d561ad04a1c63be302b,0.6194694694694695,0.5006567713122291,0.001,200.0,1.0
56,KDEAE,GutenTAG,cbf-length-10.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.916086435317993,,Status.OK,,1,"{'band_param': 0.002, 'epochs': 200, 'sigmoid_pow': 1.0}",1434138a3368b058d85ddc9aebdb45c2,0.8128628628628629,0.0026511134676564,0.002,200.0,1.0
57,KDEAE,GutenTAG,cbf-length-10.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.75379204750061,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.6563063063063063,0.0014492753623188,0.004,200.0,1.0
58,KDEAE,GutenTAG,cbf-length-10.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.921557664871216,,Status.OK,,1,"{'band_param': 0.006, 'epochs': 200, 'sigmoid_pow': 1.0}",989ca0697fea2a13d73964c4951a6aad,0.8807807807807808,0.5020903010033445,0.006,200.0,1.0
59,KDEAE,GutenTAG,cbf-length-10.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.648141860961914,,Status.OK,,1,"{'band_param': 0.01, 'epochs': 200, 'sigmoid_pow': 1.0}",70c4595bdfed752ec33301c4dbd1fc4c,0.8543043043043043,0.0033967391304347,0.01,200.0,1.0
60,KDEAE,GutenTAG,cbf-length-100.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.31043314933777,,Status.OK,,1,"{'band_param': 0.001, 'epochs': 200, 'sigmoid_pow': 1.0}",cafd8192ffdb0d561ad04a1c63be302b,0.7171555555555555,0.3957734113712374,0.001,200.0,1.0
61,KDEAE,GutenTAG,cbf-length-100.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.81418514251709,,Status.OK,,1,"{'band_param': 0.002, 'epochs': 200, 'sigmoid_pow': 1.0}",1434138a3368b058d85ddc9aebdb45c2,0.7011601010101011,0.3129332486555712,0.002,200.0,1.0
62,KDEAE,GutenTAG,cbf-length-100.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.843812227249146,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.8688742424242424,0.4169221416077676,0.004,200.0,1.0
63,KDEAE,GutenTAG,cbf-length-100.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.98586106300354,,Status.OK,,1,"{'band_param': 0.006, 'epochs': 200, 'sigmoid_pow': 1.0}",989ca0697fea2a13d73964c4951a6aad,0.8963116161616161,0.4200124122008378,0.006,200.0,1.0
64,KDEAE,GutenTAG,cbf-length-100.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.00452208518982,,Status.OK,,1,"{'band_param': 0.01, 'epochs': 200, 'sigmoid_pow': 1.0}",70c4595bdfed752ec33301c4dbd1fc4c,0.9228313131313132,0.4231809462915601,0.01,200.0,1.0
65,KDEAE,GutenTAG,cbf-length-1000.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.941834926605225,,Status.OK,,1,"{'band_param': 0.001, 'epochs': 200, 'sigmoid_pow': 1.0}",cafd8192ffdb0d561ad04a1c63be302b,0.8408377777777778,0.6041403550365813,0.001,200.0,1.0
66,KDEAE,GutenTAG,cbf-length-1000.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.007237672805786,,Status.OK,,1,"{'band_param': 0.002, 'epochs': 200, 'sigmoid_pow': 1.0}",1434138a3368b058d85ddc9aebdb45c2,0.7297976111111111,0.3917783384818182,0.002,200.0,1.0
67,KDEAE,GutenTAG,cbf-length-1000.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.613430976867676,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.7407928888888888,0.3002107959874457,0.004,200.0,1.0
68,KDEAE,GutenTAG,cbf-length-1000.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.877797842025757,,Status.OK,,1,"{'band_param': 0.006, 'epochs': 200, 'sigmoid_pow': 1.0}",989ca0697fea2a13d73964c4951a6aad,0.831004,0.4522377308120954,0.006,200.0,1.0
69,KDEAE,GutenTAG,cbf-length-1000.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.82509708404541,,Status.OK,,1,"{'band_param': 0.01, 'epochs': 200, 'sigmoid_pow': 1.0}",70c4595bdfed752ec33301c4dbd1fc4c,0.8778383888888889,0.4218610669812205,0.01,200.0,1.0
70,KDEAE,GutenTAG,cbf-length-50.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.01627469062805,,Status.OK,,1,"{'band_param': 0.001, 'epochs': 200, 'sigmoid_pow': 1.0}",cafd8192ffdb0d561ad04a1c63be302b,0.9158291457286432,0.5144927536231884,0.001,200.0,1.0
71,KDEAE,GutenTAG,cbf-length-50.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.69113516807556,,Status.OK,,1,"{'band_param': 0.002, 'epochs': 200, 'sigmoid_pow': 1.0}",1434138a3368b058d85ddc9aebdb45c2,0.7297487437185929,0.5046057479734709,0.002,200.0,1.0
